indoor_relative_humidity [%],illuminance [lux],indoor_temperature,wind_speed [m/s],occupant_count [number],Atmospheric Pressure,optimal temperature
67.6,0.0,23.1,0.46,39,56.2,25.4
67.9,0.0,23.0,0.26,37,56.2,25.3
67.9,0.0,23.1,0.34,33,56.2,25.4
68.0,0.0,23.2,1.35,35,55.8,25.3
68.3,0.0,23.3,1.27,37,56.2,25.3
68.3,0.0,23.3,0.82,36,56.1,25.3
68.4,0.0,23.2,1.45,31,56.2,25.3
68.4,0.0,23.3,1.22,31,56.2,25.3
68.4,0.0,23.2,1.44,35,56.2,25.4
68.6,0.0,22.7,0.93,30,56.2,25.3
68.6,0.0,22.9,1.85,29,56.2,25.3
68.8,0.0,23.7,1.68,31,56.2,25.3
68.9,0.0,24.2,0.44,30,56.1,25.3
68.8,0.0,24.3,0.39,37,56.2,25.4
69.0,0.0,24.3,0.27,38,55.8,25.3
69.1,0.0,24.5,0.45,30,56.2,25.3
69.1,0.0,24.6,0.88,38,56.1,25.3
69.2,0.0,24.7,1.08,30,56.1,25.3
69.3,0.0,25.0,1.43,35,56.1,25.3
69.3,0.0,25.2,0.72,35,56.1,25.3
69.5,0.0,25.4,1.84,26,56.2,25.3
69.7,0.0,25.4,1.7,33,56.1,25.3
69.6,0.0,25.5,1.12,30,56.1,25.3
69.7,0.0,25.6,1.32,33,56.1,25.3
69.8,0.0,25.7,1.77,28,55.8,25.3
69.8,0.0,25.8,0.82,28,56.2,25.3
69.8,0.0,25.9,1.58,26,56.1,25.3
69.6,0.0,25.9,0.71,32,56.2,25.1
64.4,0.0,25.9,1.25,35,56.2,24.6
60.2,0.0,26.0,0.59,29,56.0,24.3
58.3,0.0,26.0,0.76,28,56.0,24.0
59.0,0.0,26.0,0.63,34,55.9,24.4
59.6,0.0,26.0,1.31,30,56.0,24.8
60.2,0.0,26.1,1.0,29,55.9,25.0
61.0,0.0,26.1,1.92,32,55.6,24.9
61.5,0.0,26.1,1.77,31,56.1,24.9
62.1,0.0,26.1,1.4,35,56.1,24.9
62.9,0.0,26.1,1.38,30,56.1,24.8
63.4,0.0,26.2,1.21,28,56.2,24.9
63.9,0.0,26.2,0.83,35,56.1,24.9
64.2,0.0,26.1,0.9,31,56.0,24.9
63.5,0.0,26.0,1.02,35,56.0,24.7
60.2,0.0,26.0,0.77,29,56.0,24.2
57.8,0.0,26.0,0.58,27,55.9,23.9
55.7,0.0,26.0,0.96,29,55.8,23.5
54.2,0.0,26.0,0.86,35,57.4,23.3
53.1,0.0,26.1,1.21,31,55.9,23.2
52.2,0.0,26.2,0.72,24,55.9,23.0
51.7,0.0,26.2,0.82,25,55.9,22.9
52.1,0.0,26.2,0.87,20,55.9,22.8
52.2,0.0,26.3,1.11,22,55.8,22.7
52.1,0.0,26.3,0.93,17,55.8,22.6
52.1,0.0,26.3,1.06,24,55.7,22.6
52.1,0.0,26.3,1.23,19,55.7,22.5
52.2,0.0,26.3,1.34,25,55.9,22.5
52.3,0.0,26.3,1.08,24,57.8,22.4
52.3,0.0,26.3,1.12,17,56.2,22.4
52.4,0.0,26.3,1.04,19,55.9,22.4
52.5,0.0,26.3,0.81,27,55.9,22.3
52.6,0.0,26.3,1.14,15,55.9,22.3
52.7,0.0,26.3,1.33,30,56.0,22.3
52.6,0.0,26.3,0.56,21,56.0,22.3
52.6,0.0,26.3,0.64,16,56.0,22.2
52.8,0.0,26.4,0.72,24,56.1,22.2
52.8,0.0,26.4,0.71,25,56.0,22.2
52.9,0.0,26.4,0.58,18,57.4,22.1
52.9,0.0,26.4,0.74,23,56.8,22.1
53.0,0.0,26.4,0.92,15,56.1,22.1
53.2,0.0,26.4,0.76,27,56.1,22.1
53.3,0.0,26.4,0.8,21,56.0,22.1
54.0,0.0,26.4,0.74,22,56.1,22.1
54.6,0.0,26.4,0.59,21,56.1,22.1
54.4,0.0,26.4,0.47,16,56.0,22.1
53.8,0.0,26.4,0.27,18,56.1,22.0
53.0,0.0,26.4,0.23,24,56.0,22.0
52.4,0.0,26.4,0.36,18,56.1,21.9
51.8,0.0,26.4,0.36,17,57.6,21.9
51.4,0.0,26.4,0.24,24,56.0,21.9
51.5,0.0,26.4,0.08,15,56.0,21.8
51.2,0.0,26.4,0.15,18,55.9,21.8
51.0,0.0,26.4,0.14,30,55.9,21.8
50.8,0.0,26.4,0.17,21,55.9,21.8
50.8,0.0,26.4,0.17,23,56.0,21.7
50.8,0.0,26.4,0.17,22,55.9,21.7
50.8,0.0,26.4,0.17,20,55.9,21.7
50.8,0.0,26.4,0.11,26,55.9,21.6
50.8,0.0,26.4,0.11,26,57.8,21.6
50.8,0.0,26.4,0.21,22,56.1,21.6
50.9,0.0,26.5,0.23,27,56.0,21.5
50.9,0.0,26.5,0.19,20,56.0,21.5
51.0,51.71,26.5,0.31,20,56.6,21.5
50.7,103.66,26.5,0.31,25,56.3,21.8
50.5,101.57,26.5,0.31,20,57.0,21.8
50.4,102.75,26.5,0.43,20,57.2,21.8
50.3,102.33,26.5,0.76,29,57.8,21.9
50.1,102.14,26.5,1.0,22,57.3,21.9
50.0,102.33,26.5,0.85,26,58.5,22.0
49.8,102.58,26.5,1.16,16,57.7,22.0
49.6,103.61,26.5,1.48,21,56.9,22.1
49.6,104.84,26.5,1.49,20,56.9,22.1
49.9,106.85,26.5,1.57,17,56.7,22.2
50.5,105.24,26.5,1.39,27,57.4,22.2
50.6,103.08,26.5,1.06,26,56.6,22.1
50.4,101.78,26.5,1.43,18,56.9,22.2
50.3,105.01,26.5,1.21,24,56.9,22.3
50.5,103.62,26.5,0.72,19,56.7,22.2
50.6,102.66,26.5,0.92,23,57.4,22.2
50.6,101.98,26.5,0.69,15,58.4,22.2
50.7,102.7,26.5,0.86,26,62.3,22.2
50.6,101.12,26.5,1.1,24,59.0,22.3
50.8,103.08,26.5,1.15,26,71.0,22.2
50.8,102.77,26.5,1.13,15,70.5,22.2
50.7,103.38,26.5,1.31,26,57.7,22.2
50.6,100.22,26.5,0.8,16,59.3,22.2
50.6,99.94,26.5,1.13,28,57.5,22.1
50.5,102.97,26.5,0.96,20,56.6,22.1
50.4,104.34,26.5,1.33,17,57.1,22.1
50.2,100.37,26.5,1.04,27,58.7,22.1
49.9,99.43,26.5,1.08,15,56.9,22.1
49.8,99.38,26.5,1.63,20,56.6,22.1
49.7,99.34,26.5,1.68,22,56.9,22.0
49.7,99.11,26.5,1.8,22,57.7,22.0
49.5,102.49,26.5,1.59,28,58.2,22.1
49.5,104.62,26.5,1.68,19,57.6,22.1
49.4,101.21,26.5,1.36,27,57.7,22.1
49.4,100.85,26.5,0.8,20,57.3,22.0
49.3,101.28,26.5,2.04,15,57.3,22.1
49.1,101.35,26.5,1.35,30,58.9,22.1
49.3,101.6,26.5,1.45,25,57.5,22.1
49.1,103.38,26.5,1.41,25,57.3,22.1
49.2,105.26,26.6,0.74,25,57.3,22.1
49.2,96.33,26.5,0.67,16,57.4,22.1
49.5,105.11,26.6,1.97,23,57.7,21.9
49.5,107.49,26.6,1.54,19,56.9,22.0
49.4,98.72,26.6,1.31,22,56.8,22.0
49.6,98.68,26.7,2.58,19,57.3,21.9
49.8,98.19,26.5,0.86,28,59.1,21.8
50.2,98.36,25.8,1.21,18,59.2,21.8
50.2,98.65,25.6,0.59,25,57.9,21.8
49.9,98.91,25.4,1.63,19,57.1,21.9
50.1,102.13,25.5,0.64,29,56.6,21.9
50.1,103.73,25.4,0.63,26,56.8,21.9
50.0,104.84,25.3,1.66,27,58.9,22.0
49.9,106.87,25.3,1.81,27,57.7,22.1
50.0,100.78,25.3,2.22,21,56.9,22.1
50.3,100.46,25.4,0.78,29,62.4,22.0
50.3,101.32,25.3,0.79,29,66.4,22.1
50.4,99.79,25.3,1.65,21,59.5,22.1
50.5,99.66,25.4,0.98,28,68.9,22.1
50.6,99.34,25.5,0.38,21,57.0,22.1
50.6,93.34,25.1,3.3,23,56.8,22.1
51.0,97.36,24.7,2.54,27,57.1,22.0
51.1,104.12,24.3,1.53,18,56.5,22.0
51.3,99.95,23.9,0.35,28,56.5,22.0
51.4,97.62,23.7,1.24,16,56.6,22.0
51.6,97.35,23.4,3.75,15,57.6,22.1
51.8,101.12,23.2,2.36,22,58.9,22.1
51.9,99.84,23.0,3.7,27,61.0,22.1
52.0,99.39,22.9,2.43,16,67.5,22.1
51.9,102.03,22.7,1.6,26,63.6,22.2
51.9,100.97,22.7,3.58,28,61.5,22.1
51.7,101.75,22.8,2.68,19,61.4,22.2
51.6,104.1,22.8,1.66,21,61.4,22.2
51.6,98.48,22.8,1.27,23,57.4,22.1
51.4,100.86,22.8,0.79,29,56.8,22.2
51.5,99.96,22.8,2.06,28,57.0,22.1
51.6,101.93,22.9,3.44,26,58.0,22.1
51.3,102.41,22.9,2.44,25,56.6,22.2
51.3,100.15,22.9,2.29,28,58.2,22.1
51.3,101.14,22.9,1.81,15,57.6,22.1
51.2,97.0,22.9,3.52,15,56.8,22.1
51.0,98.0,22.9,3.38,30,56.9,22.1
51.1,96.81,22.9,1.89,28,57.4,22.0
51.2,98.43,23.0,0.18,30,56.8,21.9
50.8,100.73,22.9,2.04,16,56.5,22.0
50.7,101.48,23.0,4.21,24,56.6,22.0
50.8,99.44,22.9,3.17,19,57.0,22.0
50.6,106.39,22.9,2.34,19,62.4,22.1
50.6,101.51,23.0,2.35,19,61.0,22.0
50.6,102.32,22.9,1.71,17,65.0,22.0
50.4,101.75,22.9,0.7,29,63.0,22.1
50.5,100.93,23.0,3.16,22,61.5,22.0
50.4,100.83,23.0,4.13,19,60.1,22.0
50.4,104.03,22.9,2.29,21,56.5,22.0
50.5,102.91,22.9,3.24,23,56.5,22.0
50.5,101.33,22.9,2.01,21,56.1,22.0
50.5,98.31,23.0,1.97,29,56.3,22.0
50.4,102.53,23.4,1.15,29,56.1,22.0
50.3,98.56,23.4,2.23,27,57.4,22.0
50.3,104.99,23.4,4.37,27,57.3,22.1
49.9,111.51,23.4,1.38,22,56.0,22.6
49.9,107.51,23.4,1.47,20,56.4,23.0
50.0,107.46,23.4,1.79,26,56.4,23.3
50.3,106.73,23.4,2.87,32,56.0,23.6
50.5,105.29,23.4,2.5,35,56.0,23.8
51.0,104.41,23.4,2.01,36,56.8,23.9
51.3,105.69,23.4,1.75,29,56.1,24.1
51.6,110.57,23.4,1.07,29,56.1,24.2
52.1,107.51,23.4,2.89,35,56.9,24.3
52.4,107.82,23.4,4.19,32,56.0,24.4
52.8,109.19,23.4,1.9,31,56.3,24.5
53.2,102.71,22.9,1.5,34,56.8,24.6
53.9,105.76,23.0,2.61,29,56.3,24.6
54.1,108.53,23.0,3.66,27,63.3,24.7
54.5,111.28,22.9,1.78,33,61.7,24.8
55.0,110.29,22.9,3.61,31,56.2,24.9
55.4,109.28,22.9,3.45,27,56.2,24.9
55.9,108.81,22.9,4.16,31,56.2,25.0
56.1,107.56,23.0,2.78,29,56.1,25.0
56.4,109.54,22.9,3.11,26,56.0,25.1
56.7,106.09,22.9,4.8,26,56.7,25.1
56.9,107.02,23.0,4.49,34,56.7,25.2
57.1,109.0,23.0,0.78,36,65.6,25.3
57.5,101.34,23.0,2.28,33,56.8,25.3
57.6,95.77,23.1,1.65,29,57.0,25.3
57.9,104.97,23.1,2.17,29,56.9,25.4
58.2,109.08,23.1,3.37,27,56.7,25.4
58.4,106.41,23.1,4.99,39,56.7,25.5
58.5,81.23,23.0,3.1,37,57.4,25.5
58.8,0.0,22.9,2.75,35,56.2,25.4
59.5,0.0,22.9,3.49,36,55.8,25.3
59.9,0.0,23.0,0.73,37,56.1,25.2
60.5,0.0,23.0,1.61,32,56.1,25.1
60.9,0.0,23.6,3.08,28,56.1,25.1
61.1,0.0,23.8,2.04,39,56.2,25.0
61.6,0.0,23.6,2.06,32,56.1,25.0
61.7,0.0,23.7,3.27,33,56.1,25.0
61.7,0.0,23.9,3.39,34,56.0,25.1
61.9,0.0,24.0,1.6,37,56.0,25.0
61.9,0.0,23.9,1.43,34,56.0,25.1
61.9,0.0,24.0,2.29,35,55.7,25.2
62.3,0.0,24.0,2.33,29,56.0,25.1
62.2,0.0,23.7,5.32,33,56.0,25.2
62.4,0.0,23.9,2.75,33,56.1,25.1
62.4,0.0,24.2,3.35,33,56.2,25.2
62.7,0.0,24.1,2.58,35,56.2,25.1
62.9,0.0,24.0,3.48,32,56.1,25.1
62.8,0.0,24.0,3.38,32,56.1,25.2
62.8,0.0,24.1,3.79,34,56.2,25.2
63.0,0.0,24.4,1.89,38,56.1,25.2
63.1,0.0,24.4,2.9,32,55.8,25.2
63.1,0.0,24.3,2.41,29,56.1,25.2
63.2,0.0,24.3,2.85,30,56.1,25.3
63.5,0.0,24.2,3.75,31,56.1,25.2
63.7,0.0,24.1,2.89,39,56.1,25.2
63.7,0.0,24.1,3.24,33,56.1,25.2
63.7,0.0,24.2,2.5,33,56.1,25.2
63.9,0.0,24.2,3.0,34,56.1,25.2
64.2,0.0,24.1,3.31,33,56.1,25.2
64.1,0.0,24.0,2.89,34,56.2,25.2
64.3,0.0,24.1,2.49,32,55.8,25.2
64.7,0.0,24.1,1.29,38,56.1,25.1
64.5,0.0,24.1,1.44,34,56.2,25.2
64.7,0.0,24.0,3.64,33,56.2,25.2
64.7,0.0,24.0,3.17,34,56.1,25.2
64.8,0.0,24.1,2.24,38,56.2,25.2
64.8,0.0,24.1,0.86,37,56.1,25.3
64.9,0.0,24.1,2.36,39,56.2,25.3
65.0,0.0,24.2,3.04,33,56.1,25.3
65.1,0.0,24.3,2.48,35,56.2,25.3
65.3,0.0,24.3,3.5,33,56.1,25.3
65.5,0.0,24.0,1.88,40,55.8,25.2
65.4,0.0,23.9,3.83,29,56.2,25.3
65.5,0.0,23.9,2.13,34,56.2,25.3
65.7,0.0,24.1,2.5,36,56.2,25.3
65.9,0.0,24.1,2.29,30,56.2,25.2
65.9,0.0,24.1,1.28,33,56.2,25.3
66.0,0.0,24.1,1.79,37,56.2,25.3
66.1,0.0,24.2,1.4,38,56.2,25.3
66.2,0.0,24.2,1.63,31,56.2,25.3
66.2,0.0,24.1,0.83,38,56.2,25.3
66.4,0.0,24.2,1.68,33,55.8,25.3
66.5,0.0,24.1,1.19,35,56.1,25.3
66.6,0.0,24.0,2.25,38,56.2,25.3
66.7,0.0,24.0,1.64,35,56.2,25.3
66.7,0.0,23.9,1.06,32,56.2,25.3
66.7,0.0,23.9,1.44,33,56.2,25.3
66.8,0.0,24.0,1.31,37,56.2,25.3
66.9,0.0,23.9,3.67,28,56.2,25.3
67.2,0.0,23.9,1.88,29,56.2,25.3
67.3,0.0,23.9,1.46,29,56.2,25.3
67.3,0.0,24.0,1.37,35,55.9,25.3
67.4,0.0,24.0,2.54,36,56.2,25.3
67.4,0.0,24.0,1.16,33,56.2,25.3
67.4,0.0,23.9,1.2,28,56.2,25.3
67.6,0.0,23.8,1.33,35,56.2,25.3
67.5,0.0,23.8,1.59,32,56.2,25.4
67.7,0.0,23.8,1.38,28,56.2,25.3
67.8,0.0,23.8,2.13,32,56.2,25.3
67.9,0.0,23.8,2.67,36,56.2,25.3
67.9,0.0,23.9,2.11,34,56.2,25.3
68.0,0.0,23.9,3.12,34,56.2,25.3
68.2,0.0,23.9,2.41,29,55.8,25.3
68.2,0.0,23.9,2.48,38,56.1,25.3
68.3,0.0,23.8,2.07,33,56.2,25.3
68.4,0.0,23.8,2.28,38,56.2,25.3
68.4,0.0,23.9,2.71,32,56.1,25.4
68.5,0.0,24.1,0.42,30,56.2,25.4
68.6,0.0,24.3,1.17,28,56.2,25.3
68.9,0.0,24.6,1.16,34,56.2,25.3
68.8,0.0,24.8,1.55,34,56.2,25.3
69.0,0.0,25.0,2.82,31,56.2,25.3
68.8,0.0,25.2,1.92,37,55.8,25.4
69.0,0.0,25.3,1.74,30,56.1,25.3
69.2,0.0,25.4,1.29,32,56.1,25.3
69.2,0.0,25.5,1.26,31,56.1,25.3
69.1,0.0,25.6,1.56,29,56.1,25.4
69.1,0.0,25.8,1.19,35,56.1,25.4
69.3,0.0,25.9,0.84,32,56.1,25.4
69.4,0.0,26.0,1.78,34,56.1,25.3
69.4,0.0,26.0,0.35,28,56.1,25.4
69.2,0.0,26.0,2.14,34,56.2,25.4
69.4,0.0,26.0,1.37,34,55.8,25.4
69.5,0.0,26.1,0.98,34,56.2,25.4
69.6,0.0,26.1,1.48,30,56.2,25.4
69.3,0.0,26.0,1.14,29,56.3,25.1
64.1,0.0,26.0,1.13,27,56.2,24.6
59.9,0.0,26.0,2.04,37,56.0,24.4
58.1,0.0,26.0,1.86,29,56.0,24.0
58.8,0.0,26.1,1.8,36,56.0,24.5
59.3,0.0,26.1,2.82,29,56.0,24.9
59.8,0.0,26.0,1.38,31,55.9,25.0
60.4,0.0,26.0,0.8,28,55.9,25.1
61.3,0.0,26.0,1.34,34,55.6,25.0
61.9,0.0,26.0,1.59,31,56.0,25.0
62.5,0.0,26.0,0.62,33,56.1,25.0
62.9,0.0,26.1,0.96,31,56.0,25.0
63.4,0.0,26.2,0.97,31,56.0,25.0
63.7,0.0,26.1,0.99,28,55.9,25.0
63.2,0.0,26.0,0.7,28,56.0,24.8
59.7,0.0,26.0,1.07,30,56.0,24.2
56.7,0.0,26.0,0.78,34,55.9,24.0
54.6,0.0,26.0,1.54,29,56.0,23.6
53.3,0.0,26.0,0.96,34,57.4,23.3
53.1,89.51,26.4,0.93,25,60.5,23.1
52.6,99.52,26.4,1.26,15,56.5,23.0
52.0,100.69,26.4,0.91,24,56.7,23.0
52.1,101.54,26.2,1.05,30,56.5,22.9
51.9,101.4,26.4,1.27,27,56.6,22.8
51.6,100.23,26.3,0.71,17,56.4,23.0
51.5,99.33,26.4,1.23,27,58.1,23.1
52.0,98.25,26.3,1.18,24,58.8,23.1
51.7,97.26,26.4,1.06,25,59.4,23.3
51.5,97.15,26.3,0.68,35,58.3,23.5
52.2,96.86,26.3,1.39,35,61.1,23.2
52.6,96.11,26.3,0.43,31,59.0,23.2
52.8,94.65,26.3,0.88,34,61.0,23.2
53.9,95.64,26.3,0.78,35,63.4,23.2
54.5,96.36,26.3,0.52,20,63.6,23.1
54.3,97.46,26.3,0.92,26,62.1,23.2
54.0,98.1,26.3,0.61,26,61.7,23.1
53.6,99.23,26.3,1.01,35,62.6,23.2
53.6,99.79,26.3,0.81,29,60.7,23.1
53.3,100.14,26.3,0.81,35,59.9,23.2
53.2,98.26,26.3,0.29,25,64.9,23.2
53.0,96.08,26.4,0.6,25,63.7,23.2
52.8,96.98,26.4,0.53,31,61.9,23.3
52.6,97.78,26.4,0.29,27,62.1,23.4
52.7,97.06,26.4,0.21,32,62.0,23.3
52.9,94.79,26.4,0.37,32,61.3,23.2
53.1,96.01,26.4,0.08,35,61.9,23.2
53.2,96.71,26.4,0.17,32,62.1,23.2
53.3,98.41,26.4,0.16,34,61.8,23.2
52.7,99.27,26.4,0.52,29,61.1,23.3
51.7,100.53,26.4,0.05,35,61.9,23.6
51.1,98.35,26.4,0.39,26,60.7,23.6
51.1,96.85,26.4,0.53,25,61.3,23.5
50.9,94.61,26.4,0.53,28,60.2,23.3
50.6,94.54,26.4,0.31,28,62.4,23.2
49.9,94.46,26.4,0.72,34,62.0,23.3
49.6,96.92,26.4,0.63,30,62.3,23.2
49.4,97.42,26.4,0.44,31,61.3,23.3
49.5,96.58,26.4,0.06,17,60.7,23.1
49.8,96.75,26.4,0.26,18,60.6,22.9
49.7,96.62,26.4,0.18,27,61.6,22.9
49.6,96.2,26.4,0.15,27,60.9,22.9
49.7,96.79,26.4,0.21,20,61.0,22.8
49.5,96.65,26.4,0.39,15,59.8,22.8
49.6,96.92,26.4,0.24,21,59.6,22.8
49.3,96.12,26.4,0.68,18,60.4,22.9
49.2,96.37,26.4,0.56,28,61.7,22.9
49.2,96.72,26.4,0.14,18,63.0,22.9
49.5,97.09,26.5,0.14,15,70.5,22.7
49.5,97.21,26.4,0.12,22,66.5,22.7
49.5,96.55,26.4,0.84,16,60.3,22.7
49.5,93.85,26.4,0.29,23,63.6,22.7
49.4,94.44,26.4,0.88,30,62.3,22.7
49.3,94.76,26.4,0.66,28,63.5,22.7
49.3,94.49,26.5,0.39,29,62.0,22.7
49.3,94.13,26.5,1.07,17,63.2,22.7
49.2,93.97,26.5,0.58,21,63.1,22.7
49.3,94.41,26.5,0.89,15,62.5,22.6
49.3,93.65,26.5,1.6,27,61.2,22.6
49.4,93.74,26.5,1.73,30,60.8,22.5
49.5,93.93,26.5,1.09,17,61.6,22.5
49.3,95.22,26.5,1.05,16,63.6,22.6
49.1,95.37,26.5,1.39,18,61.6,22.7
49.0,95.97,26.5,1.0,28,62.0,22.7
48.8,95.17,26.5,0.78,21,63.6,22.7
49.0,92.85,26.5,1.43,20,62.5,22.7
49.1,92.91,26.5,0.93,26,62.7,22.6
49.2,92.74,26.5,0.73,25,62.2,22.7
49.7,92.85,26.5,1.0,28,62.8,22.6
49.8,93.98,26.5,1.37,27,66.7,22.6
49.4,97.48,26.5,1.94,28,57.1,22.8
48.7,96.86,26.5,1.05,23,59.4,23.0
48.9,96.82,26.5,0.87,21,60.7,23.0
49.1,96.87,26.5,1.18,30,61.5,22.9
49.4,20.01,26.5,1.18,23,58.3,22.8
49.1,0.0,26.5,1.58,21,56.2,22.8
49.2,0.0,26.5,1.39,25,56.2,22.7
49.4,0.0,26.5,1.11,17,56.2,22.6
49.5,0.0,26.5,1.44,19,56.2,22.5
49.8,0.0,26.5,1.87,15,56.3,22.4
50.0,0.0,26.5,1.34,21,56.3,22.3
50.3,0.0,26.5,1.48,16,57.1,22.2
50.3,0.0,26.5,1.01,26,58.1,22.3
50.2,0.0,26.5,1.16,23,56.4,22.4
50.3,0.0,26.5,0.87,27,56.2,22.4
50.6,0.0,26.5,0.37,19,56.1,22.3
50.7,0.0,26.5,0.55,15,56.7,22.3
51.0,0.0,26.5,0.78,22,56.1,22.2
51.5,0.0,26.5,1.18,24,56.1,22.0
51.7,0.0,26.5,1.65,29,56.1,22.0
52.1,0.0,26.0,0.77,18,56.1,21.9
52.3,0.0,25.6,1.52,30,56.1,21.9
52.8,0.0,25.4,1.37,22,58.8,21.8
52.7,0.0,25.3,0.89,21,56.4,21.9
52.9,0.0,25.3,1.07,21,56.2,21.9
52.5,69.95,25.2,0.7,20,57.7,22.0
51.7,98.65,25.3,1.75,22,57.8,22.2
51.5,99.61,25.2,3.03,28,59.4,22.1
50.6,100.0,25.2,0.62,24,58.7,22.3
49.8,99.86,25.2,1.14,28,57.9,22.5
49.1,100.26,25.1,1.14,24,58.6,22.6
48.9,99.83,25.2,1.17,23,57.5,22.5
48.6,100.14,25.4,0.05,27,58.7,22.6
48.4,100.29,25.1,2.0,30,57.1,22.5
48.3,100.29,24.7,1.2,22,56.7,22.5
48.1,100.29,24.3,0.57,28,56.6,22.6
48.0,100.3,23.9,1.48,29,57.4,22.6
48.0,100.2,23.7,0.86,28,57.4,22.5
47.9,100.22,23.6,2.84,17,56.8,22.5
48.1,100.46,23.5,1.78,22,56.5,22.6
48.6,100.41,23.5,1.51,15,56.6,22.5
48.8,100.58,23.4,0.99,26,58.2,22.5
48.9,100.51,23.4,1.67,18,59.2,22.5
48.9,100.22,23.4,2.35,29,58.8,22.5
48.9,100.15,23.4,1.48,28,57.1,22.5
49.0,100.11,23.3,2.09,30,58.0,22.4
48.9,99.96,23.3,3.64,18,57.9,22.4
49.1,100.04,23.3,1.37,21,58.7,22.4
49.1,100.23,23.3,1.7,15,57.9,22.5
49.2,99.77,23.3,1.87,22,59.4,22.4
49.2,90.4,23.2,1.85,24,59.6,22.4
50.1,0.0,23.2,1.84,17,56.2,22.1
50.4,0.0,23.3,2.75,23,55.9,22.4
50.9,0.0,23.2,1.58,27,56.6,22.8
51.3,0.0,23.2,2.11,16,56.0,22.9
51.7,0.0,23.2,2.65,15,56.1,23.0
51.8,0.0,23.2,1.24,30,56.1,23.2
52.1,0.0,23.2,1.07,35,56.1,23.3
52.5,0.0,23.2,3.65,30,56.1,23.4
52.7,0.0,23.2,3.18,35,56.0,23.4
53.1,0.0,23.2,2.6,25,56.0,23.5
53.4,0.0,23.2,1.92,35,56.1,23.6
53.8,0.0,23.2,1.48,33,56.2,23.6
54.1,0.0,23.2,2.92,34,56.2,23.6
54.3,0.0,23.2,0.29,32,56.2,23.7
54.5,0.0,23.2,1.13,32,56.2,23.7
54.7,0.0,23.2,1.89,35,56.2,23.8
54.7,0.0,23.2,3.32,27,56.3,23.9
54.9,0.0,23.2,0.43,33,56.2,23.9
55.2,0.0,23.2,0.39,31,56.1,23.9
55.3,0.0,23.2,3.53,35,56.1,23.9
55.4,0.0,23.2,3.39,31,56.1,24.0
55.5,0.0,23.2,2.47,30,56.1,24.1
56.0,0.0,23.2,1.32,29,56.0,24.0
56.7,0.0,23.2,3.75,35,56.1,24.0
57.1,0.0,23.2,0.45,31,56.1,24.0
57.4,0.0,23.2,1.58,32,56.1,24.1
57.7,0.0,23.2,1.01,33,56.1,24.1
57.9,0.0,23.2,3.1,33,56.1,24.1
58.0,0.0,23.2,4.84,26,56.1,24.2
58.3,0.0,23.2,3.42,30,56.1,24.2
58.5,0.0,23.2,2.26,27,56.1,24.2
58.7,0.0,23.2,3.46,26,56.2,24.3
59.0,0.0,23.2,2.98,35,56.0,24.3
59.1,0.0,23.2,3.08,31,56.2,24.3
59.3,0.0,23.4,4.04,37,56.2,24.3
59.4,0.0,23.5,2.26,28,56.1,24.3
59.6,0.0,23.6,2.54,30,56.1,24.4
59.7,0.0,23.6,5.16,35,56.2,24.4
60.0,0.0,23.6,3.62,38,56.2,24.4
60.0,0.0,23.6,2.08,33,56.2,24.4
60.2,0.0,23.6,4.42,35,56.1,24.5
60.4,0.0,23.7,1.16,34,56.1,24.5
60.4,0.0,23.9,4.25,31,56.1,24.5
60.7,0.0,23.8,4.53,34,55.9,24.5
60.7,0.0,23.7,2.13,32,56.2,24.5
60.9,0.0,23.6,3.81,34,56.1,24.5
61.0,0.0,23.6,1.98,27,56.2,24.6
61.1,0.0,23.6,2.83,31,56.2,24.6
61.3,0.0,23.6,3.2,33,56.0,24.6
61.4,0.0,23.6,3.6,34,56.1,24.6
61.6,0.0,23.5,0.38,30,56.1,24.6
61.7,0.0,23.5,3.28,30,56.0,24.6
61.8,0.0,23.5,1.89,37,56.0,24.7
61.8,0.0,23.6,2.55,34,55.8,24.7
62.0,0.0,23.7,3.47,29,56.1,24.7
62.1,0.0,23.7,2.19,33,56.2,24.7
62.2,0.0,23.7,2.25,32,56.1,24.7
62.4,0.0,23.7,3.22,34,56.2,24.7
62.4,0.0,23.6,2.84,28,56.2,24.8
62.5,0.0,23.6,2.84,34,56.2,24.8
62.7,0.0,23.6,2.12,32,56.2,24.7
62.7,0.0,23.9,0.55,33,56.2,24.8
62.9,0.0,23.7,2.97,34,56.2,24.8
63.1,0.0,23.7,2.87,31,56.0,24.8
63.1,0.0,23.7,2.47,40,56.3,24.8
63.2,0.0,23.6,2.21,31,56.3,24.8
63.3,0.0,23.6,2.99,36,56.3,24.8
63.3,0.0,23.6,1.53,31,56.2,24.9
63.5,0.0,23.7,1.71,37,56.3,24.9
63.5,0.0,23.6,1.67,39,56.3,24.9
63.7,0.0,23.6,1.32,41,56.3,24.9
63.9,0.0,23.6,3.6,32,56.2,24.8
63.9,0.0,23.6,2.08,31,56.2,24.9
63.9,0.0,23.6,1.03,37,56.2,24.9
64.1,0.0,23.7,2.15,37,55.9,24.9
64.3,0.0,23.7,1.36,33,56.3,24.9
64.4,0.0,23.6,1.83,33,56.3,24.9
64.3,0.0,23.6,2.0,41,56.3,24.9
64.5,0.0,23.6,3.68,36,56.2,24.9
64.5,0.0,23.6,2.05,38,56.1,25.0
